{'tag': '내가', 'count': 467}
{'tag': '그래', 'count': 431}
{'tag': '거야', 'count': 428}
{'tag': '정말', 'count': 394}
{'tag': '우리', 'count': 272}
{'tag': '그럼', 'count': 265}
{'tag': '있어', 'count': 257}
{'tag': '무슨', 'count': 240}
{'tag': '어떻게', 'count': 194}
{'tag': '안녕', 'count': 186}
{'tag': '아니', 'count': 181}
{'tag': '좋아', 'count': 178}
{'tag': '나도', 'count': 173}
{'tag': '네가', 'count': 166}
{'tag': '알아', 'count': 158}
{'tag': '너무', 'count': 142}
{'tag': '조이', 'count': 141}
{'tag': '알았어', 'count': 140}
{'tag': '챈들러', 'count': 121}
{'tag': '그리고', 'count': 119}
{'tag': '그런', 'count': 118}
{'tag': '로스', 'count': 117}
{'tag': '피비', 'count': 117}
{'tag': '고마워', 'count': 112}
{'tag': '같이', 'count': 111}
{'tag': '아냐', 'count': 110}
{'tag': '레이첼', 'count': 110}
{'tag': '그렇게', 'count': 108}
{'tag': '지금', 'count': 107}
{'tag': '여기', 'count': 106}
{'tag': '진짜', 'count': 101}
{'tag': '말야', 'count': 99}
{'tag': '자기', 'count': 98}
{'tag': '사람', 'count': 97}
{'tag': '그냥', 'count': 97}
{'tag': '그래서', 'count': 95}
{'tag': '아주', 'count': 94}
{'tag': '그게', 'count': 92}
{'tag': '다시', 'count': 90}
{'tag': '누가', 'count': 90}
{'tag': '모니카', 'count': 89}
{'tag': '다른', 'count': 88}
{'tag': '있는', 'count': 88}
{'tag': '이제', 'count': 87}
{'tag': '하지만', 'count': 86}
{'tag': '하나', 'count': 86}
{'tag': '이게', 'count': 85}
{'tag': '뭐라고', 'count': 85}
{'tag': '뭐야', 'count': 84}
{'tag': '오늘', 'count': 83}
{'tag': '얼마나', 'count': 83}
{'tag': '이런', 'count': 83}
{'tag': '잠깐', 'count': 80}
{'tag': '고마워요', 'count': 80}
{'tag': '했어', 'count': 79}
{'tag': '하고', 'count': 77}
{'tag': '그건', 'count': 77}
{'tag': '어떤', 'count': 76}
{'tag': '하는', 'count': 75}
{'tag': '없어', 'count': 74}
{'tag': '같아', 'count': 74}
{'tag': '이거', 'count': 74}
{'tag': '좋은', 'count': 73}
{'tag': '전에', 'count': 70}
{'tag': '좋아요', 'count': 69}
{'tag': '있어요', 'count': 69}
{'tag': '얘기', 'count': 69}
{'tag': '싶어', 'count': 68}
{'tag': '사랑해', 'count': 68}
{'tag': '맞아', 'count': 68}
{'tag': '방금', 'count': 66}
{'tag': '우리가', 'count': 66}
{'tag': '어때', 'count': 66}
{'tag': '같은', 'count': 64}
{'tag': '이렇게', 'count': 64}
{'tag': '어디', 'count': 64}
{'tag': '나한테', 'count': 60}
{'tag': '많이', 'count': 60}
{'tag': '있지', 'count': 59}
{'tag': '됐어', 'count': 59}
{'tag': '여자', 'count': 59}
{'tag': '그거', 'count': 56}
{'tag': '그걸', 'count': 56}
{'tag': '가서', 'count': 56}
{'tag': '이건', 'count': 55}
{'tag': '그래요', 'count': 54}
{'tag': '우린', 'count': 54}
{'tag': '여기서', 'count': 53}
{'tag': '근데', 'count': 53}
{'tag': '아뇨', 'count': 52}
{'tag': '보고', 'count': 51}
{'tag': '얘들아', 'count': 50}
{'tag': '때문에', 'count': 49}
{'tag': '말이야', 'count': 49}
{'tag': '있었어', 'count': 49}
{'tag': '그런데', 'count': 49}
{'tag': '사람이', 'count': 49}
{'tag': '말을', 'count': 49}
{'tag': '언제', 'count': 49}
{'tag': '잠깐만', 'count': 47}
{'tag': '것도', 'count': 47}
{'tag': '봤어', 'count': 46}
{'tag': '있잖아', 'count': 46}
{'tag': '하지', 'count': 46}
{'tag': '거예요', 'count': 45}
{'tag': '자기가', 'count': 45}
{'tag': '했는데', 'count': 45}
{'tag': '어서', 'count': 44}
{'tag': '너한테', 'count': 44}
{'tag': '알고', 'count': 44}
{'tag': '거지', 'count': 44}
{'tag': '뭐가', 'count': 44}
{'tag': '이리', 'count': 44}
{'tag': '조이가', 'count': 43}
{'tag': '그만', 'count': 43}
{'tag': '남자가', 'count': 42}
{'tag': '안돼', 'count': 42}
{'tag': '그렇지', 'count': 42}
{'tag': '몰라', 'count': 42}
{'tag': '로스가', 'count': 42}
{'tag': '함께', 'count': 42}
{'tag': '남자', 'count': 42}
{'tag': '집에', 'count': 42}
{'tag': '너희', 'count': 42}
{'tag': '그래도', 'count': 41}
{'tag': '물론', 'count': 41}
{'tag': '싫어', 'count': 41}
{'tag': '제가', 'count': 41}
{'tag': '빨리', 'count': 40}
{'tag': '저기', 'count': 40}
{'tag': '그럴', 'count': 40}
{'tag': '다들', 'count': 40}
{'tag': '괜찮아', 'count': 39}
{'tag': '나랑', 'count': 39}
{'tag': '소리야', 'count': 39}
{'tag': '누구', 'count': 39}
{'tag': '아직', 'count': 38}
{'tag': '친구', 'count': 38}
{'tag': '일이', 'count': 38}
{'tag': '아기', 'count': 38}
{'tag': '대해', 'count': 37}
{'tag': '먼저', 'count': 36}
{'tag': '바로', 'count': 36}
{'tag': '갖고', 'count': 36}
{'tag': '수도', 'count': 36}
{'tag': '아직도', 'count': 36}
{'tag': '혹시', 'count': 35}
{'tag': '말이', 'count': 35}
{'tag': '계속', 'count': 35}
{'tag': '멋진', 'count': 35}
{'tag': '대체', 'count': 35}
{'tag': '아니면', 'count': 34}
{'tag': '``', 'count': 34}
{'tag': '어제', 'count': 33}
{'tag': '뭐하는', 'count': 33}
{'tag': '절대', 'count': 33}
{'tag': '여보세요', 'count': 33}
{'tag': '너도', 'count': 33}
{'tag': '이걸', 'count': 32}
{'tag': '모니카가', 'count': 32}
{'tag': '좋았어', 'count': 32}
{'tag': '거기', 'count': 32}
{'tag': '세상에', 'count': 32}
{'tag': '모두', 'count': 31}
{'tag': '여긴', 'count': 31}
{'tag': '말고', 'count': 31}
{'tag': '한번', 'count': 31}
{'tag': '너희들', 'count': 31}
{'tag': '레이첼이', 'count': 31}
{'tag': '파티', 'count': 30}
{'tag': '나중에', 'count': 30}
{'tag': 'The', 'count': 30}
{'tag': '건데', 'count': 30}
{'tag': '좋지', 'count': 30}
{'tag': '동안', 'count': 30}
{'tag': '있고', 'count': 30}
{'tag': '혼자', 'count': 30}
{'tag': '있을', 'count': 29}
{'tag': '당신', 'count': 29}
{'tag': '너랑', 'count': 29}
{'tag': '했지', 'count': 29}
{'tag': '엄마', 'count': 29}
{'tag': '어디서', 'count': 29}
{'tag': '뭔데', 'count': 29}
{'tag': '그랬어', 'count': 29}
{'tag': '둘이', 'count': 29}
{'tag': '미안해', 'count': 29}
